###ÄNSI
EVTTITLE_eva.115;The Bulldogs And The Rams;;;;;;;;;x
EVTDESC_eva.115;In the long centuries since the Event Evangelical theologians and rulers have stumbled into an ancient issue - does the Council or the Emperor have ultimate earthly authority? Supporters of either side are commonly called "Bulldogs" and "Rams" after a legendary war in the HCC.;;;;;;;;;x
become_knight;Become a Knight;;;;;;;;;x
become_knight_desc;The Evangelical faith through historical association with the honorable people of the South has developed a chivalric tradition -- a tradition which many rulers aspire to further.;;;;;;;;;x
bulldog_ram_fight;The Bulldogs and the Rams;;;;;;;;;x
bulldog_ram_fight_desc;A longstanding issue divides the house of the Evangelical faith -- though the house divided still stands.;;;;;;;;;x
EVTDESC_eva.800;You have been deemed both worthy and willing to join a local order of chivalry. May you bring honor and glory to both your name and the order.;;;;;;;;;x
EVTOPT_eva.800;I arise as a champion of the Evangelical faith!;;;;;;;;;x
choose_evangelical_branch;Question Free Will;;;;;;;;;x
choose_evangelical_branch_desc;The changing centuries have pushed many antediluvian theological disagreements within the Evangelical church to purely academic corners, but some questions can't be asked without needing an answer. One such question is that of free will.;;;;;;;;;x
EVTTITLE_HCC_colapse_holy_orders;The Evangelical Holy Orders
EVTDESC_HCC_colapse_holy_orders;With the collapse of the Holy Columbian Confederacy, protection of the Evangelical faith has fallen to its adherents. Several new brotherhoods have formed to defend the faith -- the Knights of Chrismon Tree, the Order of the Baptists, the Pentecostal Oathsworn -- all claiming some ancient lineage from long ago. They have joined alongside the Army of Salvation to protect good Evangelicals everywhere.;;;;;;;;;x
EVTOPTA_hcc_colapse_holy_orders;God, bless their hearts!;;;;;;;;;x
EVTOPTB_hcc_colapse_holy_orders;They have chosen to live by the cross, now they must die by it.;;;;;;;;;x
EVTOPTC_hcc_colapse_holy_orders;This is of no concern to us.;;;;;;;;;x
solve_hcc_ram;Restore the Faith;;;;;;;;;x
solve_hcc_ram_desc;The power of the Holy Columbian Confederacy has failed to protect true religion. The only way to save it is to restore the influence of the Council President across Old America.;;;;;;;;;x
solve_hcc_bulldog;Restore the Faith;;;;;;;;;x
solve_hcc_bulldog_desc;The Council and its President have failed to shepherd their flock. Only a strong ruler, a king of kings like Cyrus of old, can guide the faithful and the church together.;;;;;;;;;x
EVTTOOLTIP_EVA_110;Do we have free will from God? It's a trivial question, and yet I'd like to know....;;;;;;;;;x
