#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
make_tributary_state;Release as Tributary State;;;;;;;;;;;;;x
make_tributary_state_desc;My vassal has served me well, but they would best serve the realm with a degree of independence. I will make them independent, and a tributary state.;;;;;;;;;;;;;x
get_local_representative_desc;The people of this land are of a foreign culture and creed of me. I shall invite one of them, and he will represent his people in my court.;;;;;;;;;;;;;x

get_local_representative;Invite Local Representative;;;;;;;;;;;;;x
EVTDESC_ETD1;A local man has come to my court, as according to my requests. May he serve us well...;;;;;;;;;;;;;x
EVTOPTA_ETD1;Welcome!;;;;;;;;;;;;;x
PROTECTOR_GENERAL;Protector General;;;;;;;;;;;;;x
k_northern_protectorate;Northern Protectorate;;;;;;;;;;;;;x
k_northern_protectorate_adj;Imperial;;;;;;;;;;;;;x
k_eastern_protectorate;Eastern Protectorate;;;;;;;;;;;;;x
k_eastern_protectorate_adj;Imperial;;;;;;;;;;;;;x
