#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_abacoa;Abacoa;Abacoa;Abacoa;;Abacoa;;;;;;;;;x
c_abacoa_adj;Abacoan;Abacoan;Abacoan;;Abacoan;;;;;;;;;x
c_abilene;Abilene;Abilene;Abilene;;Abilene;;;;;;;;;x
c_abilene_adj;Abilenean;Abilenean;Abilenean;;Abilenean;;;;;;;;;x
c_abitibi;Abitibi;Abitibi;Abitibi;;Abitibi;;;;;;;;;x
c_abitibi_adj;Abitibian;Abitibian;Abitibian;;Abitibian;;;;;;;;;x
c_acaponeta;Acaponeta;Acaponeta;Acaponeta;;Acaponeta;;;;;;;;;x
c_acaponeta_adj;Acaponetan;Acaponetan;Acaponetan;;Acaponetan;;;;;;;;;x
c_acapulco;Acapulco;Acapulco;Acapulco;;Acapulco;;;;;;;;;x
c_acapulco_adj;Porteño;Porteño;Porteño;;Porteño;;;;;;;;;x
c_acatlan;Acatlán;Acatlán;Acatlán;;Acatlán;;;;;;;;;x
c_acatlan_adj;Acatlánian;Acatlánian;Acatlánian;;Acatlánian;;;;;;;;;x
c_ackia;Ackia;Ackia;Ackia;;Ackia;;;;;;;;;x
c_ackia_adj;Ackian;Ackian;Ackian;;Ackian;;;;;;;;;x
c_acoma;Acoma;Acoma;Acoma;;Acoma;;;;;;;;;x
c_acoma_adj;Acoman;Acoman;Acoman;;Acoman;;;;;;;;;x
c_acuna;Acuna;Acuna;Acuna;;Acuna;;;;;;;;;x
c_acuna_adj;Acunan;Acunan;Acunan;;Acunan;;;;;;;;;x
c_adams;Adams;Adams;Adams;;Adams;;;;;;;;;x
c_adams_adj;Adamite;Adamite;Adamite;;Adamite;;;;;;;;;x
c_admiralty;Admiralty;Admiralty;Admiralty;;Admiralty;;;;;;;;;x
c_admiralty_adj;Admiralty;Admiralty;Admiralty;;Admiralty;;;;;;;;;x
c_aguachica;Aguachica;Aguachica;Aguachica;;Aguachica;;;;;;;;;x
c_aguachica_adj;Aguachican;Aguachican;Aguachican;;Aguachican;;;;;;;;;x
c_aguasabon;Aguasabon;Aguasabon;Aguasabon;;Aguasabon;;;;;;;;;x
c_aguasabon_adj;Aguasabon;Aguasabon;Aguasabon;;Aguasabon;;;;;;;;;x
c_aguascalientes;Aguascalientes;Aguascalientes;Aguascalientes;;Aguascalientes;;;;;;;;;x
c_aguascalientes_adj;Aguascalientesean;Aguascalientesean;Aguascalientesean;;Aguascalientesean;;;;;;;;;x
c_ahtahkakoop;Ahtahkakoop;Ahtahkakoop;Ahtahkakoop;;Ahtahkakoop;;;;;;;;;x
c_ahtahkakoop_adj;Ahtahkakooper;Ahtahkakooper;Ahtahkakooper;;Ahtahkakooper;;;;;;;;;x
c_ahumada;Ahumada;Ahumada;Ahumada;;Ahumada;;;;;;;;;x
c_ahumada_adj;Ahumadan;Ahumadan;Ahumadan;;Ahumadan;;;;;;;;;x
c_ahwe_nyava;Ahwe Nyava;Ahwe Nyava;Ahwe Nyava;;Ahwe Nyava;;;;;;;;;x
c_ahwe_nyava_adj;Nyavan;Nyavan;Nyavan;;Nyavan;;;;;;;;;x
c_aiken;Aiken;Aiken;Aiken;;Aiken;;;;;;;;;x
c_aiken_adj;Aikener;Aikener;Aikener;;Aikener;;;;;;;;;x
c_akimiski_island;Akimiski;Akimiski;Akimiski;;Akimiski;;;;;;;;;x
c_akimiski_island_adj;Akimiskian;Akimiskian;Akimiskian;;Akimiskian;;;;;;;;;x
c_akron;Akron;Akron;Akron;;Akron;;;;;;;;;x
c_akron_adj;Akronian;Akronian;Akronian;;Akronian;;;;;;;;;x
c_alajuela;Alajuela;Alajuela;Alajuela;;Alajuela;;;;;;;;;x
c_alajuela_adj;Alajuelan;Alajuelan;Alajuelan;;Alajuelan;;;;;;;;;x
c_alameda;Alameda;Alameda;Alameda;;Alameda;;;;;;;;;x
c_alameda_adj;Alamedan;Alamedan;Alamedan;;Alamedan;;;;;;;;;x
c_alamosa;Alamosa;Alamosa;Alamosa;;Alamosa;;;;;;;;;x
c_alamosa_adj;Alamosan;Alamosan;Alamosan;;Alamosan;;;;;;;;;x
c_albany;Albany;Albany;Albany;;Albany;;;;;;;;;x
c_albany_adj;Albanian;Albanian;Albanian;;Albanian;;;;;;;;;x
c_alberni;Alberni;Alberni;Alberni;;Alberni;;;;;;;;;x
c_alberni_adj;Albernian;Albernian;Albernian;;Albernian;;;;;;;;;x
c_algonquin;Algonquin;Algonquin;Algonquin;;Algonquin;;;;;;;;;x
c_algonquin_adj;Algonquin;Algonquin;Algonquin;;Algonquin;;;;;;;;;x
c_allagash;Allagash;Allagash;Allagash;;Allagash;;;;;;;;;x
c_allagash_adj;Allagasher;Allagasher;Allagasher;;Allagasher;;;;;;;;;x
c_allegany;Allegany;Allegany;Allegany;;Allegany;;;;;;;;;x
c_allegany_adj;Alleganish;Alleganish;Alleganish;;Alleganish;;;;;;;;;x
c_alpena;Alpena;Alpena;Alpena;;Alpena;;;;;;;;;x
c_alpena_adj;Alpenan;Alpenan;Alpenan;;Alpenan;;;;;;;;;x
c_alta_verapaz;Alta Verapaz;Alta Verapaz;Alta Verapaz;;Alta Verapaz;;;;;;;;;x
c_alta_verapaz_adj;Alta Verapaz;Alta Verapaz;Alta Verapaz;;Alta Verapaz;;;;;;;;;x
c_altamirano;Altamirano;Altamirano;Altamirano;;Altamirano;;;;;;;;;x
c_altamirano_adj;Altamiranoan;Altamiranoan;Altamiranoan;;Altamiranoan;;;;;;;;;x
c_alton;Alton;Alton;Alton;;Alton;;;;;;;;;x
c_alton_adj;Altonian;Altonian;Altonian;;Altonian;;;;;;;;;x
c_amajari;Amajari;Amajari;Amajari;;Amajari;;;;;;;;;x
c_amajari_adj;Amajarian;Amajarian;Amajarian;;Amajarian;;;;;;;;;x
