###ÄNSI
bloodletting_ritual;Hold a Bloodletting Ritual;;;;;;;;;;;;;x
bloodletting_ritual_desc;As a [Root.Religion.GetName] ruler, you are expected to offer your blood to the gods. Doing so will legitimize your rule in the eyes of your subjects.;;;;;;;;;;;;;x
EVTDESC_bloodletting_1;The time has come for you to offer up your blood to [Root.Religion.GetHighGodName] before the entire realm. This act will show your people that you have a deep connection with the gods, and are thus fit to rule over them. Which body part will you draw blood from?;;;;;;;;;;;;;x
EVTOPTA_bloodletting_1;I will use my hand.;;;;;;;;;;;;;x
TXT_EVTOPTA_bloodletting_1;The hand is the easiest part of the body to use, but this means that you will not gain as much respect as you could using a different body part.;;;;;;;;;;;;;x
EVTOPTB_bloodletting_1;I will offer my arm.;;;;;;;;;;;;;x
TXT_EVTOPTB_bloodletting_1;The arm is more difficult to use properly, so any rituals involving it will earn you a good deal of respect.;;;;;;;;;;;;;x
EVTOPTC_bloodletting_1;I shall pierce my tongue!;;;;;;;;;;;;;x
TXT_EVTOPTC_bloodletting_1;The tongue is by far the hardest body part to use in a bloodletting ritual, but this means that a successful ritual will earn you a great deal of respect.;;;;;;;;;;;;;x
EVTDESC_bloodletting_2;The ritual was a great success — you expertly pierced your tongue and drew a barbed rope through it to draw blood, before burning it so that it could enter the realm of the gods. Your people were in awe, and, best of all, your tongue has managed to heal completely.;;;;;;;;;;;;;x
EVTOPTA_bloodletting_2;[Root.Religion.GetHighGodName] will surely smile on me!;;;;;;;;;;;;;x
EVTDESC_bloodletting_3;The ritual was not a success — you drew the barbed rope through your tongue too quickly, and were seen wincing in pain while doing so. Your people were less than impressed, and the wound has become infected.;;;;;;;;;;;;;x
EVTOPTA_bloodletting_3;At least it's over.;;;;;;;;;;;;;x
EVTDESC_bloodletting_4;The ritual was a total disaster. You misjudged the placement of the piercing, and the pain of drawing the rope through was so excruciating that you nearly passed out. The wound on your tongue refuses to properly heal — it seems as if you will have a lisp from now on.;;;;;;;;;;;;;x
EVTOPTA_bloodletting_4;Have mercy, [Root.Religion.GetHighGodName]...;;;;;;;;;;;;;x
EVTDESC_bloodletting_5;The ritual was a great success — you expertly pierced your arm and drew a barbed rope through it to draw blood, before burning it so that it could enter the realm of the gods. Your people were in awe, and, best of all, your arm has fully healed.;;;;;;;;;;;;;x
EVTOPTA_bloodletting_5;Praise [Root.Religion.GetHighGodName]!;;;;;;;;;;;;;x
EVTDESC_bloodletting_6;The ritual was not a success — you drew the barbed rope through your arm too quickly, and were seen wincing in pain while doing so. Your people were less than impressed, and the wound has become infected.;;;;;;;;;;;;;x
EVTOPTA_bloodletting_6;At least it's over.;;;;;;;;;;;;;x
EVTDESC_bloodletting_7;The ritual was a great success — you expertly pierced your hand and drew a barbed rope through it to draw blood, before burning it so that it could enter the realm of the gods. Your people were in awe, and, best of all, your hand has fully healed.;;;;;;;;;;;;;x
EVTOPTA_bloodletting_7;Praise [Root.Religion.GetHighGodName]!;;;;;;;;;;;;;x
EVTDESC_bloodletting_8;The ritual was not a success — you drew the barbed rope through your hand too quickly, and were seen wincing in pain while doing so. Your people were less than impressed, and the wound has become infected.;;;;;;;;;;;;;x
EVTOPTA_bloodletting_8;At least it's over.;;;;;;;;;;;;;x

animal_sacrifice;Animal Sacrifice;;;;;;;;;;;;;x
animal_sacrifice_desc;As a follower of the [Root.Religion.GetName] faith, you may conduct a grand animal sacrifice once every three years. Doing so is sure to earn you the favor of [Root.Religion.GetHighGodName]!;;;;;;;;;;;;;x
EVTDESC_animalsac_1;The time has come for you to sacrifice an animal in the name of [Root.Religion.GetHighGodName]. What kind of animal will you select?;;;;;;;;;;;;;x
EVTOPTA_animalsac_1;Surely a chicken will do.;;;;;;;;;;;;;x
TXT_EVTOPTA_animalsac_1;You begin the process of locating a suitable chicken.;;;;;;;;;;;;;x
EVTOPTB_animalsac_1;A pig would make a fine offering.;;;;;;;;;;;;;x
TXT_EVTOPTB_animalsac_1;You begin the process of locating a suitable pig.;;;;;;;;;;;;;x
EVTOPTC_animalsac_1;Only the finest heifer will be enough for [Root.Religion.GetHighGodName]!;;;;;;;;;;;;;x
TXT_EVTOPTC_animalsac_1;You begin the process of locating a suitable cow.;;;;;;;;;;;;;x
EVTDESC_animalsac_2;You have sent scouts to thoroughly scour your realm for a chicken that is without blemish or defect. Eventually, your scouts bring back a magnificent black-feathered rooster that lacks even the smallest scar anywhere on its body.;;;;;;;;;;;;;x
EVTOPTA_animalsac_2;This is perfect!;;;;;;;;;;;;;x
TXT_EVTOPTA_animalsac_2;The chicken is prepared for sacrifice.;;;;;;;;;;;;;x
EVTDESC_animalsac_3;You have sent scouts to thoroughly scour your realm for a pig that is without blemish or defect. Eventually, your scouts bring back a large, majestic sow with a perfectly uniform coat of fur.;;;;;;;;;;;;;x
EVTOPTA_animalsac_3;This is perfect!;;;;;;;;;;;;;x
TXT_EVTOPTA_animalsac_3;The pig is prepared for sacrifice.;;;;;;;;;;;;;x
EVTDESC_animalsac_4;You have sent scouts to thoroughly scour tour realm for a heifer that is without blemish or defect. Eventually, your scouts bring back a magnificent brown cow with nary the smallest blemish anywhere on its body.;;;;;;;;;;;;;x
EVTOPTA_animalsac_4;This is perfect!;;;;;;;;;;;;;x
TXT_EVTOPTA_animalsac_4;The heifer is prepared for sacrifice.;;;;;;;;;;;;;x
EVTDESC_animalsac_5;In a grand ceremony, the rooster is presented before your subjects, who marvel at its beauty. It is then ritually slaughtered, with its feathers being carefully removed. Its remains are then burned while holy men chant praise to [Root.Religion.GetHighGodName].;;;;;;;;;;;;;x
EVTOPTA_animalsac_5;A magnificent sacrifice!;;;;;;;;;;;;;x
EVTDESC_animalsac_6;In a grand ceremony, the sow is presented before your subjects, who marvel at its beauty. It is then ritually slaughtered, with care being taken not to unnecessarily damage the body. Its remains are then burned while holy men chant praise to [Root.Religion.GetHighGodName].;;;;;;;;;;;;;x
EVTDESC_animalsac_7;In a grand ceremony, the heifer is presented before your subjects, who marvel at its beauty. It is then ritually slaughtered, with care being taken not to unnecessarily damage the body. Its remains are then burned while holy men chant praise to [Root.Religion.GetHighGodName].;;;;;;;;;;;;;x
sacrificed_animal_timer;Sacrificed Animal;;;;;;;;;;;;;x
sacrificed_animal_timer_desc;This character has recently sacrificed an animal to appease [Root.Religion.GetHighGodName];;;;;;;;;;;;;x

form_national_cathedral_TT;The National Cathedral Association is formed.;;;;;;;;;;;;;x
form_vassalize_national_cathedral_TT;The National Cathedral Association becomes your vassal.;;;;;;;;;;;;;x

pick_patron_neomayan;Select Personal God;;;;;;;;;;;;;x
pick_patron_neomayan_desc;All [Root.Religion.GetName]s are expected to select a personal god from the vast [Root.Religion.GetName] pantheon. Your personal god is the one you will turn to for guidance and strength, barring exceptional circumstances.;;;;;;;;;;;;;x
TXT_pick_patron_neomayan;You select your personal god. This decision is permanent.;;;;;;;;;;;;;x
EVTDESC_neomayan_patron;The time has come for you to select your personal god. Which of the four most popular [Root.Religion.GetName] gods will you select?;;;;;;;;;;;;;x
EVTOPTA_neomayan_patron;I will select Hunab Ku, the Unique God.;;;;;;;;;;;;;x
TXT_hunab_ku;Hunab Ku becomes your personal god.;;;;;;;;;;;;;x
EVTOPTB_neomayan_patron;I will select Aquarius, ruler of the night sky.;;;;;;;;;;;;;x
TXT_acquarius;Aquarius becomes your personal god.;;;;;;;;;;;;;x
EVTOPTC_neomayan_patron;I will select Pacal Votan, the legendary wise king.;;;;;;;;;;;;;x
TXT_pacal_votan;Pacal Votan becomes your personal god.;;;;;;;;;;;;;x
EVTOPTD_neomayan_patron;I will select Valum Votan, revealer of the Dreamspell.;;;;;;;;;;;;;x
TXT_valum_votan;Valum Votan becomes your personal god.;;;;;;;;;;;;;x
patron_hunab_ku;Follower of Hunab Ku;;;;;;;;;;;;;x
patron_hunab_ku_desc;This character has selected Hunab Ku, the Unique God, to be their personal god.;;;;;;;;;;;;;x
patron_acquarius;Follower of Aquarius;;;;;;;;;;;;;x
patron_acquarius_desc;This character has selected Aquarius, ruler of the night sky, to be their personal god.;;;;;;;;;;;;;x
patron_pacal_votan;Follower of Pacal Votan;;;;;;;;;;;;;x
patron_pacal_votan_desc;This character has selected Pacal Votan, the legendary wise king, to be their personal god.;;;;;;;;;;;;;x
patron_valum_votan;Follower of Valum Votan;;;;;;;;;;;;;x
patron_valum_votan_desc;This character has selected Valum Votan, revealer of the Dreamspell, to be their personal god.;;;;;;;;;;;;;x
EVTTITLE_kalomte_votan;Kalom'te Votan;;;;;;;;;;;;;x
EVTDESC_kalomte_votan;Mayan legends tell of an ancient hero named Votan, guardian of the world, who brought greatness to his people and ruled justly and wisely. Votan's spirit has reincarnated throughout the ages in the bodies of notable Maya leaders, helping to bring them glory or protect them from destruction. Now, there arises his strongest emanation yet. The entire Yucatan peninsula has been united under the banner of [Root.GetTitledName], who is now being hailed as the true and final reincarnation of Votan — Kalom'te Votan.;;;;;;;;;;;;;x
EVTOPTA_kalomte_votan;I will protect my world!;;;;;;;;;;;;;x
kalomte_votan_male;Blood of Kalom'te Votan;;;;;;;;;;;;;x
kalomte_votan_female;Blood of Kalom'te Votan;;;;;;;;;;;;;x
bloodline_desc_kalomte_votan;The legendary Kalom'te Votan united the lands of the Yucatan in the name of [Root.Religion.GetHighGodName];;;;;;;;;;;;;x
salazar;Blood of Israel;;;;;;;;;;;;;x
salazar_desc;This former viceroy of the Yucatan shocked Mexico by suddenly converting to Neomayanism and declaring independence from the Mexican Empire.;;;;;;;;;;;;;x
jaguar;Blood of Pancho;;;;;;;;;;;;;x
jaguar_desc;This stranded adventurer adopted the Neomayan faith while journeying in the jungles of Lacandón and helped peacefully spread it across southern Yucatan.;;;;;;;;;;;;;x
EVTDESC39840;Claiming to be founded by reincarnations of a great order from millennia before the event, the Twelve Pairs are known for their great exploits against the Ghazis of Mesopotamia and against the Empire of Brazil. These knights have finally expanded north of the Equator after a foothold of the Celeste faith was established.;;;;;;;;;;;;;x
EVTTITLE39840;The Twelve Pairs of France;;;;;;;;;;;;;x
EVT_39840_TT;The Twelve Pairs of France expand north.;;;;;;;;;;;;;x
EVTOPTA_39840religion;[Root.Religion.GetRandomGodName] has enlightened us!;;;;;;;;;;;;;x
