imperial_authority_modifier_0;No Imperial Authority ([Root.global_imp_auth.GetValue]%);;;;;;;;;;;;;x
imperial_authority_modifier_0_desc;The authority of the [Root.GetCeticEmperorEmpress] is determined by how much control over bureaucratic California they have. Imperial Authority under the current reigning [Root.GetCeticEmperorEmpress] is purely theoretical, however.\nImperial authority can be §Bincreased§! by:\n§Y*§! Having high stewardship or learning\n§Y*§! Uniting California\n§Y*§! Influential imperial writings\n§Y*§! Direct action by the [Root.GetCeticEmperorEmpress]\nImperial authority can be §Rdecreased§! by:\n§Y*§! Having low stewardship or learning\n§Y*§! Revolts\n§Y*§! Succession\n§Y*§! Long regencies\n§Y*§! Bad imperial writings\n§Y*§! Direct action by the Governatus;;;;;;;;;;;;;x

imperial_authority_modifier_1;Shattered Imperial Authority ([Root.global_imp_auth.GetValue]%);;;;;;;;;;;;;x
imperial_authority_modifier_1_desc;The authority of the [Root.GetCeticEmperorEmpress] is determined by how much control over bureaucratic California they have. Imperial Authority under the current reigning [Root.GetCeticEmperorEmpress] is ridden with scandal and disaster, shattering any hope for prosperity.\nImperial authority can be §Bincreased§! by:\n§Y*§! Having high stewardship or learning\n§Y*§! Uniting California\n§Y*§! Influential imperial writings\n§Y*§! Direct action by the [Root.GetCeticEmperorEmpress]\nImperial authority can be §Rdecreased§! by:\n§Y*§! Having low stewardship or learning\n§Y*§! Revolts\n§Y*§! Succession\n§Y*§! Long regencies\n§Y*§! Bad imperial writings\n§Y*§! Direct action by the Governatus;;;;;;;;;;;;;x

imperial_authority_modifier_2;Shattered Imperial Authority ([Root.global_imp_auth.GetValue]%);;;;;;;;;;;;;x
imperial_authority_modifier_2_desc;The authority of the [Root.GetCeticEmperorEmpress] is determined by how much control over bureaucratic California they have. Imperial Authority under the current reigning [Root.GetCeticEmperorEmpress] is ridden with scandal and disaster, shattering any hope for prosperity.\nImperial authority can be §Bincreased§! by:\n§Y*§! Having high stewardship or learning\n§Y*§! Uniting California\n§Y*§! Influential imperial writings\n§Y*§! Direct action by the [Root.GetCeticEmperorEmpress]\nImperial authority can be §Rdecreased§! by:\n§Y*§! Having low stewardship or learning\n§Y*§! Revolts\n§Y*§! Succession\n§Y*§! Long regencies\n§Y*§! Bad imperial writings\n§Y*§! Direct action by the Governatus;;;;;;;;;;;;;x

imperial_authority_modifier_3;Shattered Imperial Authority ([Root.global_imp_auth.GetValue]%);;;;;;;;;;;;;x
imperial_authority_modifier_3_desc;The authority of the [Root.GetCeticEmperorEmpress] is determined by how much control over bureaucratic California they have. Imperial Authority under the current reigning [Root.GetCeticEmperorEmpress] is ridden with scandal and disaster, shattering any hope for prosperity.\nImperial authority can be §Bincreased§! by:\n§Y*§! Having high stewardship or learning\n§Y*§! Uniting California\n§Y*§! Influential imperial writings\n§Y*§! Direct action by the [Root.GetCeticEmperorEmpress]\nImperial authority can be §Rdecreased§! by:\n§Y*§! Having low stewardship or learning\n§Y*§! Revolts\n§Y*§! Succession\n§Y*§! Long regencies\n§Y*§! Bad imperial writings\n§Y*§! Direct action by the Governatus;;;;;;;;;;;;;x

imperial_authority_modifier_4;Shattered Imperial Authority ([Root.global_imp_auth.GetValue]%);;;;;;;;;;;;;x
imperial_authority_modifier_4_desc;The authority of the [Root.GetCeticEmperorEmpress] is determined by how much control over bureaucratic California they have. Imperial Authority under the current reigning [Root.GetCeticEmperorEmpress] is ridden with scandal and disaster, shattering any hope for prosperity.\nImperial authority can be §Bincreased§! by:\n§Y*§! Having high stewardship or learning\n§Y*§! Uniting California\n§Y*§! Influential imperial writings\n§Y*§! Direct action by the [Root.GetCeticEmperorEmpress]\nImperial authority can be §Rdecreased§! by:\n§Y*§! Having low stewardship or learning\n§Y*§! Revolts\n§Y*§! Succession\n§Y*§! Long regencies\n§Y*§! Bad imperial writings\n§Y*§! Direct action by the Governatus;;;;;;;;;;;;;x

